Date : 2022-11-25 17:41:10
Directory : /Users/benjaminwilhite/Desktop/ExtraCCRedy
Total : 195 files,  48692 codes, 53543 comments, 8944 blanks, all 111179 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_log.h                   | C++      |         67 |        306 |         32 |        405 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_main.h                  | C++      |         47 |        155 |         34 |        236 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_messagebox.h            | C++      |         61 |        114 |         19 |        194 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_metal.h                 | C++      |         19 |         81 |         14 |        114 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_misc.h                  | C++      |         13 |         57 |         10 |         80 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_mixer.h                 | C++      |        184 |      2,462 |        139 |      2,785 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_mouse.h                 | C++      |         70 |        355 |         30 |        455 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_mutex.h                 | C++      |         45 |        386 |         41 |        472 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_name.h                  | C++      |          7 |         21 |          6 |         34 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_opengl.h                | C++      |      1,552 |        196 |        436 |      2,184 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_opengl_glext.h          | C++      |     10,629 |         43 |        509 |     11,181 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_opengles.h              | C++      |         11 |         25 |          4 |         40 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_opengles2.h             | C++      |         19 |         26 |          8 |         53 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_opengles2_gl2.h         | C++      |        470 |         86 |         66 |        622 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_opengles2_gl2ext.h      | C++      |      1,427 |        351 |        273 |      2,051 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_opengles2_gl2platform.h | C++      |          9 |         14 |          8 |         31 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_opengles2_khrplatform.h | C++      |         99 |        156 |         28 |        283 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_pixels.h                | C++      |        314 |        288 |         43 |        645 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_platform.h              | C++      |        159 |         57 |         20 |        236 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_power.h                 | C++      |         21 |         57 |         11 |         89 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_quit.h                  | C++      |          7 |         44 |          8 |         59 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_rect.h                  | C++      |        105 |        238 |         34 |        377 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_render.h                | C++      |        251 |      1,554 |        104 |      1,909 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_revision.h              | C++      |          2 |          0 |          1 |          3 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_rwops.h                 | C++      |        132 |        669 |         55 |        856 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_scancode.h              | C++      |        255 |        124 |         35 |        414 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_sensor.h                | C++      |         40 |        231 |         31 |        302 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_shape.h                 | C++      |         38 |        102 |         16 |        156 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_stdinc.h                | C++      |        531 |        143 |         65 |        739 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_surface.h               | C++      |        143 |        785 |         68 |        996 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_system.h                | C++      |         81 |        431 |         64 |        576 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_syswm.h                 | C++      |        272 |         77 |         38 |        387 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test.h                  | C++      |         25 |         35 |         10 |         70 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_assert.h           | C++      |         19 |         70 |         17 |        106 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_common.h           | C++      |         92 |        115 |         29 |        236 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_compare.h          | C++      |         14 |         44 |         12 |         70 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_crc32.h            | C++      |         31 |         71 |         23 |        125 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_font.h             | C++      |         15 |         54 |         13 |         82 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_fuzzer.h           | C++      |         37 |        302 |         48 |        387 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_harness.h          | C++      |         39 |         75 |         21 |        135 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_images.h           | C++      |         29 |         39 |         11 |         79 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_log.h              | C++      |         13 |         45 |         10 |         68 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_md5.h              | C++      |         22 |         87 |         21 |        130 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_memory.h           | C++      |         13 |         40 |         11 |         64 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_test_random.h           | C++      |         23 |         75 |         18 |        116 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_thread.h                | C++      |        109 |        314 |         42 |        465 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_timer.h                 | C++      |         25 |        179 |         19 |        223 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_touch.h                 | C++      |         38 |         93 |         20 |        151 |
